internal case75 None
internal case78 0 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1099>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 1 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1010>N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O|N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O>0.1230>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 2 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1010>N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O|N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O>0.1137>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 3 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0930>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1070>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 4 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0997>COn1cc(C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O)c2ccccc21|COn1cc(C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O)c2ccccc21>0.0913>N[C@@H](CCC(=O)O)C(=O)O
internal case78 5 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0930>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0975>NC(=O)C[C@H](N)C(=O)O
internal case78 6 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0930>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0974>NC(=O)CC[C@H](N)C(=O)O
internal case78 7 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0930>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0941>NCCCC[C@H](N)C(=O)O
internal case78 8 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0930>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0844>C[C@H](N)C(=O)O
internal case78 9 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0968>COc1ccc2c(c1)c(C[C@H](N)C(=O)O)cn2OC|COc1ccc2c(c1)c(C[C@H](N)C(=O)O)cn2OC>0.1337>COc1ccc2[nH]cc(C[C@H](N)C(=O)O)c2c1|COc1ccc2[nH]cc(C[C@H](N)C(=O)O)c2c1>0.1035>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 0 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1705>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2077>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1172>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 1 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1705>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1907>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1172>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 2 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1705>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2077>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1069>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 3 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1705>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2014>C=CC(C)(C)c1c[nH]c2ccccc12.Nc1ccccc1C(=O)O|C=CC(C)(C)c1c[nH]c2ccccc12>0.1052>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case79 4 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1705>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1907>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1069>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 5 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1604>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1428>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1316>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 6 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1604>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1428>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1216>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 7 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1604>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1473>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1172>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 8 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1604>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1473>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1069>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 9 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1604>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1429>C=CC(C)(C)c1c[nH]c2ccccc12.Nc1ccccc1C(=O)O|C=CC(C)(C)c1c[nH]c2ccccc12>0.1052>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case80 0 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2077>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1172>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 1 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1907>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1172>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 2 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2077>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1069>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 3 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2014>C=CC(C)(C)c1c[nH]c2ccccc12.Nc1ccccc1C(=O)O|C=CC(C)(C)c1c[nH]c2ccccc12>0.1052>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case80 4 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1907>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1069>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 5 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2002>Nc1ccccc1C(=O)O.C=CC(C)(C)C1=CC2C(=O)Nc3ccccc3C(=O)N2C1|C=CC(C)(C)C1=CC2C(=O)Nc3ccccc3C(=O)N2C1>0.1134>O=C1NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1308>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 6 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2014>C=CC(C)(C)c1c[nH]c2ccccc12.Nc1ccccc1C(=O)O|C=CC(C)(C)c1c[nH]c2ccccc12>0.1199>O=C(O)c1c[nH]c2ccccc12.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C(O)c1c[nH]c2ccccc12>0.1147>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 7 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2002>Nc1ccccc1C(=O)O.C=CC(C)(C)C1=CC2C(=O)Nc3ccccc3C(=O)N2C1|C=CC(C)(C)C1=CC2C(=O)Nc3ccccc3C(=O)N2C1>0.1134>O=C1NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1160>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 8 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2014>C=CC(C)(C)c1c[nH]c2ccccc12.Nc1ccccc1C(=O)O|C=CC(C)(C)c1c[nH]c2ccccc12>0.1186>c1ccc2[nH]ccc2c1.CC(C)=CCOP(=O)(O)OP(=O)(O)O|c1ccc2[nH]ccc2c1>0.1088>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 9 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2014>C=CC(C)(C)c1c[nH]c2ccccc12.Nc1ccccc1C(=O)O|C=CC(C)(C)c1c[nH]c2ccccc12>0.1184>c1ccc2c(c1)[nH]c1ccccc12.CC(C)=CCOP(=O)(O)OP(=O)(O)O|c1ccc2c(c1)[nH]c1ccccc12>0.1037>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case81 0 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O>0.1051>CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C(=O)O|CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C(=O)O>0.0828>CC(=O)C(=O)O
internal case81 1 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O>0.0972>CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO|CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0987>CC(C)=C[C@@H]1c2cccc3[nH]cc(c23)C[C@H]1N|CC(C)=C[C@@H]1c2cccc3[nH]cc(c23)C[C@H]1N>0.0944>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 0 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1378>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 1 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1339>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case82 2 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1267>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 3 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0987>CC(C)=C[C@@H]1c2cccc3[nH]cc(c23)C[C@H]1N|CC(C)=C[C@@H]1c2cccc3[nH]cc(c23)C[C@H]1N>0.0944>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 4 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1206>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.C=CC(C)(C)O|C=CC(C)(C)O>0.1342>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case82 5 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0987>CC(C)=C[C@@H]1c2cccc3[nH]cc(c23)C[C@H]1N|CC(C)=C[C@@H]1c2cccc3[nH]cc(c23)C[C@H]1N>0.0997>N[C@@H]1Cc2c[nH]c3cccc1c23.CC(C)=CCOP(=O)(O)OP(=O)(O)O|N[C@@H]1Cc2c[nH]c3cccc1c23>0.1483>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 6 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1276>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1070>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 7 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1276>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0975>NC(=O)C[C@H](N)C(=O)O
internal case82 8 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1276>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0974>NC(=O)CC[C@H](N)C(=O)O
internal case82 9 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0995>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1276>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0941>NCCCC[C@H](N)C(=O)O
internal case83 0 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1008>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1378>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 1 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1008>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1339>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case83 2 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0968>CC(C)=CCc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12>0.1363>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 3 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1065>CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1230>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 4 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0998>CN[C@@H](Cc1c[nH]c2cccc(O)c12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@@H](Cc1c[nH]c2cccc(O)c12)C(=O)O>0.1306>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 5 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0968>CC(C)=CCc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12>0.1343>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case83 6 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1008>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1267>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 7 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1023>CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O|CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1230>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 8 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1020>CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1232>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 9 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0968>CC(C)=CCc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@@H](N)C(=O)O)c12>0.1259>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case84 0 O=C(O)C(=O)Cc1c[nH]c2ccc(O)cc12>0.1102>N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O|N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O>0.1183>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
