internal case1 None
internal case2 None
internal case3 None
internal case4 None
internal case5 None
internal case6 None
internal case8 0 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>0.1709>NC(=O)CC[C@H](N)C(=O)O
internal case8 1 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>3.3940>NC(=O)CCC(N)=O|NC(=O)CCC(N)=O>1.0989>NC(=O)CC[C@H](N)C(=O)O
internal case8 2 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>3.4554>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>1.0468>O=C(O)CCC(=O)O
internal case8 3 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>3.4554>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>1.6192>NC(=O)CC[C@H](N)C(=O)O
internal case8 4 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>3.3940>NC(=O)CCC(N)=O|NC(=O)CCC(N)=O>0.7072>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>1.0468>O=C(O)CCC(=O)O
internal case8 5 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>3.3940>NC(=O)CCC(N)=O|NC(=O)CCC(N)=O>0.7072>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>1.6192>NC(=O)CC[C@H](N)C(=O)O
internal case8 6 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>4.9108>NC(=O)CCC(N)(C(=O)O)C(=O)O|NC(=O)CCC(N)(C(=O)O)C(=O)O>1.0856>NC(=O)CC[C@H](N)C(=O)O
internal case8 7 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>4.8975>NC(=O)CCC(=O)NC(=O)O|NC(=O)CCC(=O)NC(=O)O>1.2223>NC(=O)CC[C@H](N)C(=O)O
internal case8 8 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>3.4554>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>2.9114>NC(=O)C[C@H](N)C(=O)O
internal case8 9 CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(N)=O>5.2336>NC(=O)CC[C@H](N)C(=O)NCC(=O)O|NC(=O)CC[C@H](N)C(=O)NCC(=O)O>1.2148>CC(=O)C(=O)O
internal case9 0 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>1.4845>CC(=O)C(=O)O
internal case9 1 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>2.5644>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case9 2 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>2.1490>CC(O)C(=O)O|CC(O)C(=O)O>0.7158>CC(=O)C(=O)O
internal case9 3 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>3.0170>O=C(O)CCC(=O)O
internal case9 4 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>2.2117>CC(=O)OP(=O)(O)O|CC(=O)OP(=O)(O)O>1.4471>CC(=O)C(=O)O
internal case9 5 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>4.1421>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case9 6 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>2.0602>C[C@H](O)C(=O)O|C[C@H](O)C(=O)O>0.2108>O=C(O)C(=O)C(=O)O|O=C(O)C(=O)C(=O)O>1.9310>CC(=O)C(=O)O
internal case9 7 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>2.0602>C[C@H](O)C(=O)O|C[C@H](O)C(=O)O>2.1452>O=CC(=O)O
internal case9 8 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>0.1842>CC(=O)O|CC(=O)O>2.0602>C[C@H](O)C(=O)O|C[C@H](O)C(=O)O>0.2108>O=C(O)C(=O)C(=O)O|O=C(O)C(=O)C(=O)O>2.2605>O=CC(=O)O
internal case9 9 CC1(C)OC(=O)C[C@@H]2[C@@H](C(=O)O)NC[C@@H]21>3.4904>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O|CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O>1.3859>C=C(C)CCOP(=O)(O)OP(=O)(O)O
internal case10 0 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>1.1641>C=C(C)[S@](=O)NCC(=O)O|C=C(C)[S@](=O)NCC(=O)O>1.1688>NCC(=O)O
internal case10 1 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>0.9883>C=C(C)[S@](=O)/C=C/C(=O)O|C=C(C)[S@](=O)/C=C/C(=O)O>1.5754>O=C(O)/C=C/C(=O)O|O=C(O)/C=C/C(=O)O>1.5066>O=C(O)CCC(=O)O
internal case10 2 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>1.1582>C=C(C)C(=O)C(=O)O|C=C(C)C(=O)C(=O)O>3.0838>CC(=O)C(=O)O
internal case10 3 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>1.1582>C=C(C)C(=O)C(=O)O|C=C(C)C(=O)C(=O)O>3.1138>CC(C)[C@H](N)C(=O)O
internal case10 4 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>1.1641>C=C(C)[S@](=O)NCC(=O)O|C=C(C)[S@](=O)NCC(=O)O>2.4962>O=C(O)CNS(=O)(=O)O|O=C(O)CNS(=O)(=O)O>0.8044>NCC(=O)O
internal case10 5 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>0.9883>C=C(C)[S@](=O)/C=C/C(=O)O|C=C(C)[S@](=O)/C=C/C(=O)O>2.0863>C=C(C)[S@](=O)CC(=O)O|C=C(C)[S@](=O)CC(=O)O>1.5537>CC(=O)C(=O)O
internal case10 6 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>1.1582>C=C(C)C(=O)C(=O)O|C=C(C)C(=O)C(=O)O>2.6219>CC(C)C(=O)C(=O)O|CC(C)C(=O)C(=O)O>1.0379>CC(C)[C@H](N)C(=O)O
internal case10 7 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>0.9883>C=C(C)[S@](=O)/C=C/C(=O)O|C=C(C)[S@](=O)/C=C/C(=O)O>1.5754>O=C(O)/C=C/C(=O)O|O=C(O)/C=C/C(=O)O>2.7724>N[C@@H](CC(=O)O)C(=O)O
internal case10 8 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>0.9883>C=C(C)[S@](=O)/C=C/C(=O)O|C=C(C)[S@](=O)/C=C/C(=O)O>1.4709>CC(C)=CC=O|CC(C)=CC=O>2.3068>CC(C)=CCOP(=O)(O)O|CC(C)=CCOP(=O)(O)O>0.7549>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case10 9 C=C(C)[C@H]1CN[C@H](C(=O)O)[C@H]1CC(=O)O>0.9883>C=C(C)[S@](=O)/C=C/C(=O)O|C=C(C)[S@](=O)/C=C/C(=O)O>1.5754>O=C(O)/C=C/C(=O)O|O=C(O)/C=C/C(=O)O>2.0275>O=C(O)C[C@H](O)C(=O)O|O=C(O)C[C@H](O)C(=O)O>0.9772>O=CC(=O)O
internal case11 None
internal case12 0 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>1.6680>CC(=O)C(=O)O
internal case12 1 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>1.5000>C/C(C=O)=C\CC/C(C)=C/CN|C/C(C=O)=C\CC/C(C)=C/CN>2.5820>CC(C)=CCC/C(C)=C/CN|CC(C)=CCC/C(C)=C/CN>0.7407>CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case12 2 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>0.9765>C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O|C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O>3.5618>C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O|C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O>2.6628>CC(=O)C(=O)O
internal case12 3 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>5.6610>C/C(C=O)=C\CC/C(C)=C/CNC(=O)C(=O)O|C/C(C=O)=C\CC/C(C)=C/CNC(=O)C(=O)O>1.8893>CC(=O)C(=O)O
internal case12 4 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>2.2590>C/C(C=O)=C\CC/C(C)=C/C=O|C/C(C=O)=C\CC/C(C)=C/C=O>1.4999>CC(C)=CCC/C(C)=C/C=O|CC(C)=CCC/C(C)=C/C=O>2.2049>CC(C)=CCC[C@@H](C)CC=O|CC(C)=CCC[C@@H](C)CC=O>1.8364>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case12 5 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>3.1962>C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)O|C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)O>2.7210>C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O|C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O>2.6628>CC(=O)C(=O)O
internal case12 6 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>0.9765>C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O|C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O>2.5511>C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)O|C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)C(=O)O>2.7210>C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O|C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O>2.6628>CC(=O)C(=O)O
internal case12 7 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>2.2590>C/C(C=O)=C\CC/C(C)=C/C=O|C/C(C=O)=C\CC/C(C)=C/C=O>1.4999>CC(C)=CCC/C(C)=C/C=O|CC(C)=CCC/C(C)=C/C=O>2.2049>CC(C)=CCC[C@@H](C)CC=O|CC(C)=CCC[C@@H](C)CC=O>3.1108>CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case12 8 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>2.2590>C/C(C=O)=C\CC/C(C)=C/C=O|C/C(C=O)=C\CC/C(C)=C/C=O>1.4999>CC(C)=CCC/C(C)=C/C=O|CC(C)=CCC/C(C)=C/C=O>1.9919>CC(C)=CCC[C@H](C)CC=O|CC(C)=CCC[C@H](C)CC=O>3.3521>CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case12 9 C/C(C=O)=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O>0.9765>C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O|C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O)C(=O)O>3.5618>C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O|C/C(=C\CNc1ncnc2[nH]cnc12)C(=O)O>1.8469>C/C(=C\CNc1ncnc2[nH]nc(N)c12)C(=O)O|C/C(=C\CNc1ncnc2[nH]nc(N)c12)C(=O)O>2.9631>CC(=O)C(=O)O
internal case13 0 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>2.1864>O=C(O)CCC(=O)O
internal case13 1 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>2.5954>CC(=O)C(=O)O
internal case13 2 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>1.9585>C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O|C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O>2.6576>C=C(C)CCOP(=O)(O)OP(=O)(O)O
internal case13 3 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>0.6988>C/C(=C\CC/C(C)=C/CN)CO|C/C(=C\CC/C(C)=C/CN)CO>2.6400>C/C(=C\CC/C(C)=C/CCl)CO|C/C(=C\CC/C(C)=C/CCl)CO>1.5276>CC(C)=CCC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case13 4 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>2.9945>C/C(=C/CN)CC/C=C(\C)COP(=O)(O)O|C/C(=C/CN)CC/C=C(\C)COP(=O)(O)O>1.9442>C=C(C)CCOP(=O)(O)OP(=O)(O)O
internal case13 5 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>1.9585>C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O|C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O>1.7461>C=C(C)CCOP(=O)(O)O|C=C(C)CCOP(=O)(O)O>1.7770>C=C(C)CCOP(=O)(O)OP(=O)(O)O
internal case13 6 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>5.1636>C/C(=C\CN)CC/C=C(\C)COP(=O)(O)OP(=O)(O)O|C/C(=C\CN)CC/C=C(\C)COP(=O)(O)OP(=O)(O)O>0.5787>C=C(C)CCOP(=O)(O)OP(=O)(O)O
internal case13 7 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>1.9585>C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O|C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O>1.7461>C=C(C)CCOP(=O)(O)O|C=C(C)CCOP(=O)(O)O>2.0523>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case13 8 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>1.9585>C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O|C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O>1.7461>C=C(C)CCOP(=O)(O)O|C=C(C)CCOP(=O)(O)O>2.1589>CC(C)=CCC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case13 9 C/C(=C\CC/C(C)=C/CN[C@@H](CCC(=O)O)C(=O)O)CO>1.9585>C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O|C/C(=C\CN)CC/C=C(\C)COP(=O)(O)O>1.7461>C=C(C)CCOP(=O)(O)O|C=C(C)CCOP(=O)(O)O>2.2862>CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
internal case14 0 O=C1CC[C@H](C(=O)O)N1>1.3656>O=C(O)CC(=O)C(=O)O
internal case14 1 O=C1CC[C@H](C(=O)O)N1>2.2305>O=C(O)CCC(=O)O
internal case14 2 O=C1CC[C@H](C(=O)O)N1>2.9666>O=C(O)CC(=O)C(=O)O
internal case14 3 O=C1CC[C@H](C(=O)O)N1>1.1961>N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O|N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O>2.0312>NC(=O)CC[C@H](N)C(=O)O
internal case14 4 O=C1CC[C@H](C(=O)O)N1>1.1961>N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O|N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O>1.0693>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>1.0468>O=C(O)CCC(=O)O
internal case14 5 O=C1CC[C@H](C(=O)O)N1>2.8500>O=C(O)C1=N[C@H](C(=O)O)CCC1|O=C(O)C1=N[C@H](C(=O)O)CCC1>0.6902>CC(=O)C(=O)O
internal case14 6 O=C1CC[C@H](C(=O)O)N1>1.1961>N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O|N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O>1.0693>NC(=O)CCC(=O)O|NC(=O)CCC(=O)O>1.6192>NC(=O)CC[C@H](N)C(=O)O
internal case14 7 O=C1CC[C@H](C(=O)O)N1>1.1961>N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O|N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O>1.8520>NC(=O)CCC(=O)C(=O)O|NC(=O)CCC(=O)C(=O)O>0.9157>NC(=O)CC[C@H](N)C(=O)O
internal case14 8 O=C1CC[C@H](C(=O)O)N1>1.8441>O=C(O)CCC(=O)C(=O)O|O=C(O)CCC(=O)C(=O)O>2.2162>CC(=O)C(=O)O
internal case14 9 O=C1CC[C@H](C(=O)O)N1>1.8441>O=C(O)CCC(=O)C(=O)O|O=C(O)CCC(=O)C(=O)O>1.6195>O=C(O)CC[C@H](O)C(=O)O|O=C(O)CC[C@H](O)C(=O)O>0.6334>O=C(O)CC(=O)C(=O)O
internal case15 None
internal case16 0 C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)O>1.2509>O=c1[nH]c(=O)c2cc(O)ccc2[nH]1|O=c1[nH]c(=O)c2cc(O)ccc2[nH]1>0.0337>Nc1ccc(O)cc1C(=O)O|Nc1ccc(O)cc1C(=O)O>1.6423>Nc1ccccc1C(=O)O
internal case16 1 C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)O>1.2509>O=c1[nH]c(=O)c2cc(O)ccc2[nH]1|O=c1[nH]c(=O)c2cc(O)ccc2[nH]1>0.0337>Nc1ccc(O)cc1C(=O)O|Nc1ccc(O)cc1C(=O)O>2.3216>O=C1Nc2ccc(O)cc2C1=O|O=C1Nc2ccc(O)cc2C1=O>1.6067>O=C1Nc2ccccc2C1=O|O=C1Nc2ccccc2C1=O>0.9016>Nc1ccccc1C(=O)O
internal case16 2 C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)O>1.2509>O=c1[nH]c(=O)c2cc(O)ccc2[nH]1|O=c1[nH]c(=O)c2cc(O)ccc2[nH]1>0.0337>Nc1ccc(O)cc1C(=O)O|Nc1ccc(O)cc1C(=O)O>2.4993>Nc1ccc(O)cc1|Nc1ccc(O)cc1>2.3899>Nc1ccccc1C(=O)O
internal case16 3 C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)O>1.2509>O=c1[nH]c(=O)c2cc(O)ccc2[nH]1|O=c1[nH]c(=O)c2cc(O)ccc2[nH]1>0.0337>Nc1ccc(O)cc1C(=O)O|Nc1ccc(O)cc1C(=O)O>3.1694>O=CNc1ccc(O)cc1C(=O)O|O=CNc1ccc(O)cc1C(=O)O>4.0384>Nc1ccccc1C(=O)O
internal case16 4 C[C@H](OP(=O)(O)OC[C@@H](O)[C@@H](O)[C@@H](O)Cn1c2nc(=O)[nH]c(=O)c-2cc2ccc(O)cc21)C(=O)O>1.2509>O=c1[nH]c(=O)c2cc(O)ccc2[nH]1|O=c1[nH]c(=O)c2cc(O)ccc2[nH]1>0.0337>Nc1ccc(O)cc1C(=O)O|Nc1ccc(O)cc1C(=O)O>2.3216>O=C1Nc2ccc(O)cc2C1=O|O=C1Nc2ccc(O)cc2C1=O>1.6067>O=C1Nc2ccccc2C1=O|O=C1Nc2ccccc2C1=O>1.2515>O=C1Nc2ccccc2C1O|O=C1Nc2ccccc2C1O>2.0869>Nc1ccccc1C(=O)O
internal case17 None
internal case18 None
internal case19 None
internal case20 None
internal case21 0 Cn1cnc(CC(=O)O)c1>1.9609>O=C(O)Cc1c[nH]cn1|O=C(O)Cc1c[nH]cn1>4.4876>O=C(O)CC(=O)C(=O)O
internal case21 1 Cn1cnc(CC(=O)O)c1>2.0724>Cn1cnc(CC=O)c1|Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>3.5363>O=C(O)CC(=O)O
internal case21 2 Cn1cnc(CC(=O)O)c1>2.0724>Cn1cnc(CC=O)c1|Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>3.9143>O=C(O)CCC(=O)O
internal case21 3 Cn1cnc(CC(=O)O)c1>2.0724>Cn1cnc(CC=O)c1|Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>4.9000>O=C(O)CC(=O)C(=O)O
internal case21 4 Cn1cnc(CC(=O)O)c1>1.9609>O=C(O)Cc1c[nH]cn1|O=C(O)Cc1c[nH]cn1>2.2638>N=C(N)NCCC[C@H](N)C(=O)O|N=C(N)NCCC[C@H](N)C(=O)O>2.1810>N=C(N)NCCCCN|N=C(N)NCCCCN>4.2918>CSCC[C@H](N)C(=O)O
internal case22 0 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>1.6628>CC(=O)O|CC(=O)O>1.4845>CC(=O)C(=O)O
internal case22 1 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>3.5363>O=C(O)CC(=O)O
internal case22 2 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>3.9143>O=C(O)CCC(=O)O
internal case22 3 Cn1cnc(CC=O)c1>3.3396>Cn1cnc(CCN)c1|Cn1cnc(CCN)c1>1.8120>NCCc1c[nH]cn1|NCCc1c[nH]cn1>0.4379>N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O|N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O>2.0312>NC(=O)CC[C@H](N)C(=O)O
internal case22 4 Cn1cnc(CC=O)c1>1.5149>Cn1cnc(CC(=O)O)c1|Cn1cnc(CC(=O)O)c1>1.9609>O=C(O)Cc1c[nH]cn1|O=C(O)Cc1c[nH]cn1>4.4876>O=C(O)CC(=O)C(=O)O
internal case22 5 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>1.6628>CC(=O)O|CC(=O)O>3.0170>O=C(O)CCC(=O)O
internal case22 6 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>4.9000>O=C(O)CC(=O)C(=O)O
internal case22 7 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>2.4250>Cn1cnc(CC(=O)O)c1|Cn1cnc(CC(=O)O)c1>1.9609>O=C(O)Cc1c[nH]cn1|O=C(O)Cc1c[nH]cn1>4.4876>O=C(O)CC(=O)C(=O)O
internal case22 8 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>3.0288>CC(C)(O)C#N|CC(C)(O)C#N>4.7271>C[C@H](N)C(=O)O
internal case22 9 Cn1cnc(CC=O)c1>0.3337>Cn1cnc(CCO)c1|Cn1cnc(CCO)c1>3.0408>C=O|C=O>3.0288>CC(C)(O)C#N|CC(C)(O)C#N>5.1771>CC(=O)C(=O)O
