internal case75 None
internal case78 3 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1001>N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O|N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O>0.1015>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 4 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1001>N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O|N[C@@H](Cc1cn(O)c2ccccc12)C(=O)O>0.1005>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 5 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.1000>COn1cc(C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O)c2ccccc21|COn1cc(C[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O)c2ccccc21>0.1000>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.N[C@@H](CCC(=O)O)C(=O)O
internal case78 6 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0993>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1007>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case78 7 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0993>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0997>NC(=O)C[C@H](N)C(=O)O
internal case78 8 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0993>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0997>NC(=O)CC[C@H](N)C(=O)O
internal case78 9 COn1cc(C[C@H](N)C(=O)O)c2ccccc21>0.0993>N[C@H](Cc1c[nH]c2ccccc12)C(=O)O|N[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.0994>NCCCC[C@H](N)C(=O)O
internal case79 0 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2441>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1258>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 1 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2441>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1246>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 2 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1300>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1008>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 3 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1300>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.0998>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 4 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1278>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1008>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 5 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1290>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1034>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1258>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 6 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1278>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.0998>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 7 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1290>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1034>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1246>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case79 8 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1304>C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1292>Nc1ccccc1C(=O)O.C=CC(C)(C)c1c[nH]c2ccccc12|C=CC(C)(C)c1c[nH]c2ccccc12>0.0978>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case79 9 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1N(C(C)=O)c1ccccc12>0.1290>C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12|C=CC(C)(C)[C@@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.0904>O=C1NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1NC(Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1257>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 0 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2441>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1258>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 1 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.2441>O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1246>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 2 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1300>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1008>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 3 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1300>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.CC(C)=CCOP(=O)(O)OP(=O)(O)O|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.0998>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 4 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1278>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.1008>Nc1ccccc1C(=O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 5 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1290>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21.C=CC(C)(C)c1c[nH]c2ccccc12|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.0998>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 6 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1278>O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21|O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccccc21>0.0998>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case80 7 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1292>Nc1ccccc1C(=O)O.C=CC(C)(C)c1c[nH]c2ccccc12|C=CC(C)(C)c1c[nH]c2ccccc12>0.0978>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case80 8 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1108>CC(C)=CCc1c[nH]c2ccccc12|CC(C)=CCc1c[nH]c2ccccc12>0.1003>CC(C)=CCOP(=O)(O)OP(=O)(O)O
internal case80 9 C=CC(C)(C)[C@]12C[C@@H]3C(=O)Nc4ccccc4C(=O)N3C1Nc1ccccc12>0.1108>CC(C)=CCc1c[nH]c2ccccc12|CC(C)=CCc1c[nH]c2ccccc12>0.1003>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case81 0 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O>0.1005>CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C(=O)O|CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C(=O)O>0.0975>CC(=O)C(=O)O
internal case81 1 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O>0.0997>CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO|CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1277>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case81 2 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1CC(C)C=O>0.1000>CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)C=O|CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)C=O>0.1172>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1277>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 0 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1277>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 1 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0872>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1030>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 2 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0872>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1026>CC(C)=CCOP(=O)(O)OP(=O)(O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 3 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.0872>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1019>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 4 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0970>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1030>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 5 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0975>CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1021>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 6 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0970>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1026>CC(C)=CCOP(=O)(O)OP(=O)(O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 7 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0971>CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O|CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1021>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 8 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0970>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1019>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case82 9 CN[C@@H]1Cc2c[nH]c3cccc(c23)[C@H]1/C=C(\C)CO>0.2146>CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O|CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0971>CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1017>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 0 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.1277>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 1 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0970>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1030>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 2 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0969>CN[C@@H](Cc1c[nH]c2cccc(O)c12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@@H](Cc1c[nH]c2cccc(O)c12)C(=O)O>0.1029>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 3 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0975>CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1021>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 4 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0970>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1026>CC(C)=CCOP(=O)(O)OP(=O)(O)O.N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 5 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0971>CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O|CN[C@@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1021>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 6 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0970>CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12|CC(C)=CCc1cccc2[nH]cc(C[C@H](N)C(=O)O)c12>0.1019>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
internal case83 7 CN[C@@H](Cc1c[nH]c2cccc(CC=C(C)C)c12)C(=O)O>0.0971>CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O.CC(C)=CCOP(=O)(O)OP(=O)(O)O|CN[C@H](Cc1c[nH]c2ccccc12)C(=O)O>0.1017>N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
